"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksbawq   ","P",04/13/2022 9:15,0,1,"",0.8,<0> (CND),0.31,<0> (CND),0.1,<0> (CND),85.9,<0> (CND),12.3,<0> (CND),1.20,<0> (CND),1.32,<3> ,"",<-1> ,"","",7.4,<0> (CND),15,<0> (CND),9.0,<0> (CND),
"lksbawq   ","P",04/13/2022 9:30,0,1,"",0.8,<0> ,0.31,<0> ,0.1,<0> ,84.9,<0> ,12.1,<0> ,1.10,<0> ,1.22,<3> ,"",<-1> ,"","",7.5,<0> ,15,<0> ,10.6,<0> ,
"lksbawq   ","P",04/13/2022 9:45,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,84.8,<0> ,12.1,<0> ,1.10,<0> ,1.21,<3> ,"",<-1> ,"","",7.5,<0> ,18,<0> ,8.8,<0> ,
"lksbawq   ","P",04/13/2022 10:00,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,85.5,<0> ,12.2,<0> ,1.04,<0> ,1.15,<3> ,"",<-1> ,"","",7.5,<0> ,16,<0> ,9.1,<0> ,
"lksbawq   ","P",04/13/2022 10:15,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,85.1,<0> ,12.2,<0> ,0.96,<0> ,1.07,<3> ,"",<-1> ,"","",7.5,<0> ,16,<0> ,7.7,<0> ,
"lksbawq   ","P",04/13/2022 10:30,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,85.2,<0> ,12.2,<0> ,0.91,<0> ,1.02,<3> ,"",<-1> ,"","",7.5,<0> ,16,<0> ,14.1,<0> ,
"lksbawq   ","P",04/13/2022 10:45,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,84.9,<0> ,12.2,<0> ,0.89,<0> ,1.00,<3> ,"",<-1> ,"","",7.5,<0> ,17,<0> ,8.9,<0> ,
"lksbawq   ","P",04/13/2022 11:00,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,84.9,<0> ,12.2,<0> ,0.88,<0> ,0.99,<3> ,"",<-1> ,"","",7.5,<0> ,16,<0> ,7.7,<0> ,
"lksbawq   ","P",04/13/2022 11:15,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,85.1,<0> ,12.2,<0> ,0.86,<0> ,0.97,<3> ,"",<-1> ,"","",7.5,<0> ,16,<0> ,9.7,<0> ,
"lksbawq   ","P",04/13/2022 11:30,0,1,"",0.7,<0> ,0.31,<0> ,0.2,<0> ,85.2,<0> ,12.2,<0> ,0.87,<0> ,0.99,<3> ,"",<-1> ,"","",7.6,<0> ,16,<0> ,9.0,<0> ,
