"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksblwq   ","P",04/27/2022 8:15,0,1,"",3.2,<0> (CND),0.11,<0> (CND),0.1,<0> (CND),101.4,<0> (CND),13.6,<0> (CND),2.15,<0> (CND),1.97,<3> ,"",<-1> ,"","",7.4,<0> (CND),23,<0> (CND),"",<-1> ,
"lksblwq   ","P",04/27/2022 8:30,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.4,<0> ,13.6,<0> ,2.17,<0> ,1.99,<3> ,"",<-1> ,"","",7.5,<0> ,21,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 8:45,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.5,<0> ,13.6,<0> ,2.18,<0> ,2.00,<3> ,"",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 9:00,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.3,<0> ,13.6,<0> ,2.18,<0> ,2.00,<3> ,"",<-1> ,"","",7.5,<0> ,24,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 9:15,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.3,<0> ,13.6,<0> ,2.18,<0> ,2.00,<3> ,"",<-1> ,"","",7.5,<0> ,24,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 9:30,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.6,<0> ,13.6,<0> ,2.16,<0> ,1.99,<3> ,"",<-1> ,"","",7.5,<0> ,21,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 9:45,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.8,<0> ,13.6,<0> ,2.16,<0> ,1.99,<3> ,"",<-1> ,"","",7.5,<0> ,24,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 10:00,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.5,<0> ,13.6,<0> ,2.17,<0> ,2.00,<3> ,"",<-1> ,"","",7.5,<0> ,19,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 10:15,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,101.0,<0> ,13.5,<0> ,2.19,<0> ,2.02,<3> ,"",<-1> ,"","",7.5,<0> ,17,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 10:30,0,1,"",3.2,<0> ,0.11,<0> ,0.1,<0> ,100.8,<0> ,13.5,<0> ,2.21,<0> ,2.04,<3> ,"",<-1> ,"","",7.5,<0> ,23,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 10:45,0,1,"",3.3,<0> ,0.12,<0> ,0.1,<0> ,99.0,<0> ,13.2,<0> ,2.23,<0> ,2.06,<3> ,"",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 11:00,0,1,"",3.3,<0> ,0.12,<0> ,0.1,<0> ,98.7,<0> ,13.2,<0> ,2.25,<0> ,2.08,<3> ,"",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 11:15,0,1,"",3.4,<0> ,0.12,<0> ,0.1,<0> ,98.8,<0> ,13.2,<0> ,2.25,<0> ,2.08,<3> ,"",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 11:30,0,1,"",3.4,<0> ,0.12,<0> ,0.1,<0> ,98.9,<0> ,13.2,<0> ,2.25,<0> ,2.08,<3> ,"",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 11:45,0,1,"",3.4,<0> ,0.12,<0> ,0.1,<0> ,99.5,<0> ,13.2,<0> ,2.25,<0> ,2.08,<3> ,"",<-1> ,"","",7.5,<0> ,21,<0> ,"",<-1> ,
"lksblwq   ","P",04/27/2022 12:00,0,1,"",3.4,<0> ,0.12,<0> ,0.1,<0> ,99.8,<0> ,13.3,<0> ,2.27,<0> ,2.10,<3> ,"",<-1> ,"","",7.5,<0> ,22,<0> ,"",<-1> ,
