"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lkspowq   ","P",05/11/2022 12:00,0,1,"",12.3,<0> (CND),0.15,<0> (CND),0.1,<0> (CND),90.4,<0> (CND),9.7,<0> (CND),0.57,<0> (CND),0.47,<3> ,"",<-1> ,"","",7.4,<0> (CND),157,<0> (CND),"",<-1> ,
"lkspowq   ","P",05/11/2022 12:15,0,1,"",12.4,<0> ,0.15,<0> ,0.1,<0> ,90.6,<0> ,9.7,<0> ,0.56,<0> ,0.47,<3> ,"",<-1> ,"","",7.5,<0> ,166,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 12:30,0,1,"",12.4,<0> ,0.15,<0> ,0.1,<0> ,90.5,<0> ,9.7,<0> ,0.51,<0> ,0.41,<3> ,"",<-1> ,"","",7.5,<0> ,157,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 12:45,0,1,"",12.0,<0> ,0.15,<0> ,0.1,<0> ,90.3,<0> ,9.7,<0> ,0.47,<0> ,0.37,<3> ,"",<-1> ,"","",7.5,<0> ,169,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 13:00,0,1,"",11.8,<0> ,0.15,<0> ,0.1,<0> ,90.4,<0> ,9.8,<0> ,0.48,<0> ,0.37,<3> ,"",<-1> ,"","",7.5,<0> ,159,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 13:15,0,1,"",11.9,<0> ,0.15,<0> ,0.1,<0> ,90.1,<0> ,9.7,<0> ,0.50,<0> ,0.39,<3> ,"",<-1> ,"","",7.5,<0> ,171,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 13:30,0,1,"",11.9,<0> ,0.15,<0> ,0.1,<0> ,90.0,<0> ,9.7,<0> ,0.56,<0> ,0.44,<3> ,"",<-1> ,"","",7.5,<0> ,174,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 13:45,0,1,"",12.3,<0> ,0.15,<0> ,0.1,<0> ,90.1,<0> ,9.6,<0> ,0.62,<0> ,0.49,<3> ,"",<-1> ,"","",7.5,<0> ,160,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 14:00,0,1,"",12.4,<0> ,0.16,<0> ,0.1,<0> ,89.2,<0> ,9.5,<0> ,0.57,<0> ,0.46,<3> ,"",<-1> ,"","",7.5,<0> ,160,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 14:15,0,1,"",11.8,<0> ,0.15,<0> ,0.1,<0> ,90.2,<0> ,9.8,<0> ,0.49,<0> ,0.38,<3> ,"",<-1> ,"","",7.6,<0> ,173,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 14:30,0,1,"",11.7,<0> ,0.15,<0> ,0.1,<0> ,89.8,<0> ,9.7,<0> ,0.44,<0> ,0.33,<3> ,"",<-1> ,"","",7.6,<0> ,167,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 14:45,0,1,"",11.6,<0> ,0.15,<0> ,0.1,<0> ,90.4,<0> ,9.8,<0> ,0.45,<0> ,0.33,<3> ,"",<-1> ,"","",7.6,<0> ,155,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 15:00,0,1,"",11.8,<0> ,0.15,<0> ,0.1,<0> ,90.3,<0> ,9.8,<0> ,0.45,<0> ,0.35,<3> ,"",<-1> ,"","",7.6,<0> ,163,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 15:15,0,1,"",11.8,<0> ,0.15,<0> ,0.1,<0> ,90.4,<0> ,9.8,<0> ,0.44,<0> ,0.35,<3> ,"",<-1> ,"","",7.6,<0> ,168,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 15:30,0,1,"",11.6,<0> ,0.15,<0> ,0.1,<0> ,90.4,<0> ,9.8,<0> ,0.43,<0> ,0.34,<3> ,"",<-1> ,"","",7.6,<0> ,162,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 15:45,0,1,"",11.5,<0> ,0.15,<0> ,0.1,<0> ,90.4,<0> ,9.8,<0> ,0.44,<0> ,0.34,<3> ,"",<-1> ,"","",7.6,<0> ,153,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 16:00,0,1,"",11.5,<0> ,0.15,<0> ,0.1,<0> ,90.4,<0> ,9.9,<0> ,0.45,<0> ,0.34,<3> ,"",<-1> ,"","",7.6,<0> ,153,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 16:15,0,1,"",11.5,<0> ,0.15,<0> ,0.1,<0> ,90.2,<0> ,9.8,<0> ,0.42,<0> ,0.31,<3> ,"",<-1> ,"","",7.6,<0> ,160,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 16:30,0,1,"",11.5,<0> ,0.15,<0> ,0.1,<0> ,89.3,<0> ,9.7,<0> ,0.39,<0> ,0.28,<3> ,"",<-1> ,"","",7.6,<0> ,155,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 16:45,0,1,"",11.4,<0> ,0.15,<0> ,0.1,<0> ,89.0,<0> ,9.7,<0> ,0.39,<0> ,0.29,<3> ,"",<-1> ,"","",7.6,<0> ,146,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 17:00,0,1,"",11.4,<0> ,0.15,<0> ,0.1,<0> ,88.7,<0> ,9.7,<0> ,0.33,<0> ,0.23,<3> ,"",<-1> ,"","",7.6,<0> ,158,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 17:15,0,1,"",11.5,<0> ,0.15,<0> ,0.1,<0> ,87.3,<0> ,9.5,<0> ,0.26,<0> ,0.21,<3> ,"",<-1> ,"","",7.6,<0> ,156,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 17:30,0,1,"",11.4,<0> ,0.15,<0> ,0.1,<0> ,87.6,<0> ,9.6,<0> ,0.26,<0> ,0.21,<3> ,"",<-1> ,"","",7.6,<0> ,150,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 17:45,0,1,"",11.4,<0> ,0.15,<0> ,0.1,<0> ,89.2,<0> ,9.7,<0> ,0.31,<0> ,0.27,<3> ,"",<-1> ,"","",7.6,<0> ,153,<0> ,"",<-1> ,
"lkspowq   ","P",05/11/2022 18:00,0,1,"",11.4,<0> ,0.15,<0> ,0.1,<0> ,89.0,<0> ,9.7,<0> ,0.27,<0> ,0.23,<3> ,"",<-1> ,"","",7.6,<0> ,150,<0> ,"",<-1> ,
